ID_Alumno,Modalidad,Calificacion,Rendimiento,Aprendizaje
1,Presencial,94,Alto,Pobre
2,Presencial,67,Bajo,Pobre
3,Presencial,71,Medio,Excelente
6,Presencial,58,Bajo,Regular
7,Presencial,74,Medio,Excelente
13,Presencial,51,Bajo,Pobre
14,Presencial,72,Medio,Excelente
15,Presencial,59,Bajo,Pobre
16,Presencial,54,Bajo,Regular
18,Presencial,80,Medio,Bueno
21,Presencial,68,Bajo,Regular
24,Presencial,80,Medio,Regular
26,Presencial,59,Bajo,Regular
29,Presencial,66,Bajo,Pobre
31,Presencial,100,Alto,Pobre
32,Presencial,96,Alto,Excelente
35,Presencial,86,Medio,Excelente
36,Presencial,72,Medio,Pobre
37,Presencial,90,Alto,Regular
39,Presencial,67,Bajo,Regular
43,Presencial,86,Medio,Pobre
45,Presencial,88,Medio,Excelente
49,Presencial,88,Medio,Pobre
53,Presencial,51,Bajo,Regular
54,Presencial,88,Medio,Regular
55,Presencial,73,Medio,Pobre
58,Presencial,76,Medio,Pobre
59,Presencial,60,Bajo,Pobre
62,Presencial,96,Alto,Pobre
63,Presencial,63,Bajo,Excelente
66,Presencial,84,Medio,Regular
68,Presencial,61,Bajo,Regular
71,Presencial,66,Bajo,Pobre
76,Presencial,60,Bajo,Pobre
77,Presencial,91,Alto,Regular
80,Presencial,69,Bajo,Regular
81,Presencial,57,Bajo,Regular
82,Presencial,95,Alto,Excelente
84,Presencial,76,Medio,Pobre
87,Presencial,99,Alto,Regular
88,Presencial,97,Alto,Regular
89,Presencial,58,Bajo,Pobre
90,Presencial,96,Medio,Regular
91,Presencial,78,Medio,Pobre
92,Presencial,66,Medio,Pobre
93,Presencial,72,Medio,Regular
95,Presencial,92,Alto,Regular
96,Presencial,56,Bajo,Excelente
98,Presencial,86,Medio,Pobre
99,Presencial,86,Medio,Excelente
100,Presencial,91,Alto,Pobre
101,Presencial,64,Bajo,Regular
102,Presencial,64,Bajo,Regular
104,Presencial,59,Bajo,Regular
107,Presencial,81,Medio,Excelente
109,Presencial,58,Bajo,Regular
111,Presencial,67,Bajo,Pobre
113,Presencial,74,Medio,Regular
114,Presencial,97,Alto,Pobre
116,Presencial,59,Bajo,Regular
118,Presencial,64,Bajo,Excelente
120,Presencial,63,Bajo,Regular
122,Presencial,57,Bajo,Regular
123,Presencial,54,Bajo,Regular
124,Presencial,71,Medio,Pobre
125,Presencial,67,Bajo,Regular
129,Presencial,62,Bajo,Regular
130,Presencial,92,Alto,Regular
133,Presencial,84,Medio,Pobre
136,Presencial,62,Bajo,Regular
139,Presencial,67,Bajo,Excelente
140,Presencial,86,Medio,Regular
141,Presencial,55,Bajo,Excelente
142,Presencial,84,Medio,Regular
143,Presencial,51,Bajo,Regular
145,Presencial,61,Bajo,Pobre
147,Presencial,72,Medio,Regular
149,Presencial,94,Alto,Pobre
154,Presencial,81,Medio,Regular
155,Presencial,66,Bajo,Pobre
156,Presencial,73,Medio,Pobre
157,Presencial,84,Medio,Excelente
158,Presencial,73,Medio,Pobre
160,Presencial,57,Bajo,Regular
161,Presencial,76,Medio,Regular
162,Presencial,100,Alto,Pobre
163,Presencial,85,Medio,Excelente
169,Presencial,66,Bajo,Regular
170,Presencial,61,Bajo,Regular
173,Presencial,92,Alto,Regular
175,Presencial,98,Alto,Regular
176,Presencial,89,Medio,Excelente
177,Presencial,88,Medio,Pobre
179,Presencial,98,Alto,Regular
181,Presencial,55,Bajo,Excelente
183,Presencial,81,Medio,Regular
184,Presencial,63,Bajo,Regular
190,Presencial,75,Medio,Regular
193,Presencial,63,Bajo,Pobre
195,Presencial,64,Bajo,Regular
196,Presencial,74,Medio,Pobre
200,Presencial,82,Medio,Regular
201,Presencial,92,Alto,Regular
202,Presencial,73,Medio,Pobre
203,Presencial,55,Bajo,Regular
204,Presencial,79,Medio,Pobre
206,Presencial,82,Medio,Regular
208,Presencial,67,Bajo,Regular
209,Presencial,66,Bajo,Regular
224,Presencial,76,Medio,Excelente
225,Presencial,65,Bajo,Regular
228,Presencial,67,Bajo,Regular
230,Presencial,71,Medio,Regular
231,Presencial,69,Bajo,Pobre
234,Presencial,90,Alto,Regular
237,Presencial,63,Bajo,Regular
238,Presencial,54,Bajo,Regular
240,Presencial,61,Bajo,Pobre
245,Presencial,50,Bajo,Excelente
246,Presencial,51,Bajo,Regular
249,Presencial,87,Medio,Regular
