ID_Alumno,Modalidad,Calificacion,Rendimiento,Aprendizaje
1,Presencial,95.5,Alto,Regular
2,Presencial,95.5,Alto,Bueno
3,Presencial,95.5,Alto,Bueno
4,Presencial,75.5,Medio,Pobre
5,Presencial,95.5,Alto,Regular
6,Presencial,85.5,Medio,Bueno
7,Presencial,95.5,Alto,Regular
8,Presencial,85.5,Medio,Regular
9,Presencial,65.5,Bajo,Pobre
10,Presencial,85.5,Medio,Regular
11,Presencial,85.5,Medio,Regular
12,Presencial,85.5,Medio,Regular
13,Presencial,75.5,Medio,Regular
14,Presencial,85.5,Medio,Regular
15,Presencial,85.5,Medio,Regular
16,Presencial,85.5,Medio,Bueno
17,Presencial,95.5,Alto,Regular
18,Presencial,35.5,Bajo,Pobre
19,Presencial,85.5,Medio,Regular
20,Presencial,85.5,Medio,Regular
21,Presencial,85.5,Medio,Pobre
22,Presencial,85.5,Medio,Bueno
23,Presencial,85.5,Medio,Regular
24,Presencial,65.5,Bajo,Regular
25,Presencial,85.5,Medio,Regular
26,Presencial,95.5,Alto,Bueno
27,Presencial,85.5,Medio,Regular
28,Presencial,75.5,Medio,Regular
29,Presencial,45.5,Bajo,Bajo
30,Presencial,85.5,Medio,Regular
31,Presencial,95.5,Alto,Bueno
32,Presencial,65.5,Bajo,Regular
33,Presencial,85.5,Medio,Regular
34,Presencial,75.5,Medio,Bueno
35,Presencial,95.5,Alto,Regular
36,Presencial,85.5,Medio,Bueno
37,Presencial,45.5,Bajo,Bueno
38,Presencial,85.5,Medio,Regular
39,Presencial,75.5,Medio,Pobre
40,Presencial,75.5,Medio,Bueno
41,Presencial,85.5,Medio,Regular
42,Presencial,85.5,Medio,Pobre
43,Presencial,75.5,Medio,Bueno
44,Presencial,45.5,Bajo,Regular
45,Presencial,85.5,Medio,Pobre
46,Presencial,85.5,Medio,Regular
47,Presencial,75.5,Medio,Regular
48,Presencial,75.5,Medio,Bueno
49,Presencial,45.5,Bajo,Regular
50,Presencial,85.5,Medio,Pobre
51,Presencial,35.5,Bajo,Pobre
52,Presencial,85.5,Medio,Regular
53,Presencial,75.5,Medio,Bueno
54,Presencial,95.5,Alto,Pobre
55,Presencial,75.5,Medio,Regular
56,Presencial,65.5,Bajo,Bueno
57,Presencial,35.5,Bajo,Bueno
58,Presencial,75.5,Medio,Regular
59,Presencial,65.5,Bajo,Regular
60,Presencial,55.5,Bajo,Bueno
